uid;designation;ingredients
76b249e7-7ed8-4503-be89-079197470564;Céréales enrobées de confiserie goût fraise en sachet 800 g CRISPEARLS;"Confiserie rose à base de beurre de cacao 84.0% (sucre 51.0% ; beurre de cacao 24.0% ; poudre de lait entier 14.5% ; lactosérum en poudre (lait) 7.0% ; colorant: E162 2.0% ; arôme naturel <1% ; émulsifiant: lécithine de soja <1% ; arôme naturel de vanille <1% ) ; céréales croustillantes (farine de blé, sucre, farine de malt de blé, amidon (blé), poudre à lever: E500ii, sel, beurre de cacao, arôme naturel de vanille) 15.0% ; sirop de glucose <1% ; sucre <1% ; agent d'enrobage: E414 <1% ; amidon modifié <1% ; graisse végétale (noix de coco) <1%"
10bf9148-857e-4415-b24b-a9c8c3bf18d4;Fonds blanc de veau lié en boîte 800 g CHEF;"Fécule de pomme de terre, sel, sirop de glucose, arômes (avec blé), maltodextrine, viande de veau 5,8 %, huile de palme, graisse de poule, extrait de levure, extrait de viande de boeuf, oignons, extrait de poireau, extrait de carotte, extrait de vin blanc, épaississant (gomme guar), antioxydant (extraits de romarin). 
Peut contenir : lait, oeuf, céleri."
b14e270f-4c8e-45de-b0bd-028e12c9d48a;Chips saveur poulet rôti en sachet 145 g;"pommes de terre
huiles végétales 32% (tournesol, colza)
base aromatisante poulet rôti et thym [arômes (dont petit-lait en poudre, huile de beurre, oignon en poudre, sucre, graisse et viande de poulet hydrolysée, épices et herbes (persil), acidifiant (acide citrique)]
sel"
f9af1c71-59dd-4d11-8938-aa726ecffe6c;Sauce salade miel moutarde en dosette 30 ml AMORA;"Eau, huile de tournesol, miel 10%, moutarde à l'ancienne 8% (eau, graines de MOUTARDE, vinaigre d'alcool, sel, vin blanc (dont SULFITES), sucre, épices), vinaigre de cidre, amidon
modifié de maïs, jaune d'OEUF, sel, acidifiant: acide lactique, conservateur: sorbate de potassium, épaississant: gomme xanthane, arôme naturel, antioxydant E385"
f06da022-9715-4859-bddf-2c74102d40ee;Biscuit fourré au chocolat en paquet 300 g ST GEORGES;farine de blé 55%, sucre, huile hydrogénée de coprah, huile de palme, sirop de glucose, poudre de cacao maigre 3.5%, lactoserum en poudre, lactose, poudres à lever (carbonate d'ammonium et de sodium, diphosphates), poudre de lait écrémé, sel, arôme, protéine de lait.
0016638c-64e5-4b0f-9ef7-a918179dec26;Morceaux de pommes et de poires au sirop aromatisés au caramel en coupelle 90 g VALADE EN CORREZE;Pommes 21%, poires 39%, eau, sucre, arôme, antioxydant : acide ascorbique, acidifiant : acide citrique (si le fruit n'en contient pas suffisamment).
1427f551-0d0b-41c9-850d-b398077a15d0;Confiture de fraise en bocal 1 kg BERGER DE FRUIT;Sirop de glucose-fructose, fraises, sucre, gélifiant : pectine de fruits, acidifiant : acide citrique.
eb8f42a8-8322-4aa9-874e-a28195583eb7;Filet de maquereau à la tomate en boîte 4/4 KERITI;Filets de maquereaux scomber scombrus 60% (Pêchés en Atlantique Nord-Est), eau, concentré de tomates (30% de la sauce), huile de colza, vinaigre, sel, épaississant : gomme xanthane, arômes naturels.
2ca5dc9e-8058-499a-affe-3ec9c06d55b7;Café en grains Grand Arôme 100% Arabica en sachet 1 kg SEGAFREDO;100% Arabica
bded4410-c22c-41f9-9619-9b85b3506ca8;Ananas en morceaux au jus en poche 2,3 kg DOLE;ananas, jus d'ananas, antioxydant : acide ascorbique, acidifiant : acide citrique
0d81c297-3a60-4d2c-9417-2e3be7ded646;Betteraves en dés assaisonnées en boîte 5/1 VALFRAY;Betteraves rouges, eau, vinaigre d'alcool, sel, sucre, arôme naturel.
249f2937-1771-442a-95b4-03273d7ea414;Sirop pour sangria en bouteille verr 1 L GIFFARD;
b16756b6-a1bb-451c-939f-808bde9e5891;Garniture forestière en boîte 3/1 SABAROT;Champignons : Suillus luteus (40%), Volvariella volvacea (25%), Pleurotus ostreatus (20%), lactarius deliciosus (10%), pholiota mutabilis (5%), à la mise en oeuvre, eau, acide citrique
eac17f96-1046-49c8-892d-a00220a75057;Ciboulette coupée en boîte 60 g LA CASE AUX EPICES;Ciboulette
a8c81c82-9378-4d99-a3ec-c5a0b7b0d410;Oignon cube cuit en poche 10 kg MACEDER;oignons
d1be6f74-1e0e-4631-bb4a-6b16b9fc908f;Barre chocolat au lait BIO en étui 10 g CEMOI;"sucre*, LAIT en poudre*, beurre de cacao*, pâte de cacao*, émulsifiant : lécithine de tournesol (E322), extrait de
vanille*
* matièrepremière issue de l'agriculture biologique
cacao : 27% minimum"
856fc816-5bea-4c93-8ed5-1057a1738a94;Gnocchi sarde en sac 5 kg ALPINA SAVOIE;"semoule de blé dur de qualité supérieure, issu de la filière Alpina
Peut contenir des traces d'œufs"
f45db604-11ad-4756-aeab-3a5a1a34f914;Flanbotti caramel en sac 1,5 kg HARIBO;"sucre; sirop de glucose; dextrose; gélatine; acidifiant: acide citrique; arôme; sirop de caramel; colorants: lutéine, charbon végétal; agents d'enrobage: cire d'abeille blanche et jaune, cire de carnauba."
62ab3e16-da26-4b0f-be39-70b8aa4fb171;Mayonnaise poche  aluminium de 500grs ILOU;Huile de colza, eau, jaune d'oeuf, vinaigre, moutarde de Dijon (eau, graines de moutarde, vinaigre, sel, antioxydant : disulfite de potassium, acidifiant : acide citrique), sucre, sel,  paississants : gomme de guar et gomme de xanthane, amidon modifié, conservateur : E202, colorant : caroténoïdes, antioxydant : E385
dce639bb-06e2-4b6e-9ce3-662ecfaa9791;SUCRE CANNE MI-BLANC BIO BRESIL - BÛCHETTE 5 G LOIRET;100% Sucre de Canne Biologique non raffiné.
f4c16bbd-130d-4e12-b2a0-541853dd560d;Coquillette en sachet 500 g PANZANI;"- 100% Semoule de BLE dur de qualité supérieure
- Contient du gluten
Si le numéro de lot contient la lettre N : peu contenir de l'œuf"
b4d30497-d26f-415d-85b2-4f4b7994c61e;Moutarde à l'ancienne en seau 5 kg DIJONA;Eau, graines de moutarde, vinaigre d'alcool, sel, vin blanc (contient sulfites), sucre, épices, acidifiant (acide citrique), conservateur (disulfite de potassium)
93fb1748-efa5-4679-b67e-51ff121c69e8;1883 MIRABELLE 100 CL;SUCRE DE CANNE, EAU, JUS DE MIRABELLE A BASE DE CONCENTRE (12%), ACIDIFIANT: ACIDE CITRIQUE, AROME NATUREL, COLORANT : E 150a.
f583eb86-1f99-4c7a-a1e4-277037bbbe16;Gnocchetti sardi en sac 3 kg DE CECCO;SEMOULE DE BLE' DUR de qualité supérieure
4c34a8be-e97b-4c7e-a116-1a4b5d43a8d0;Couscous moyen en sac 5 kg YASMINA;"- 100% Semoule de blé dur de qualité courante
- Contient du gluten"
0a773952-6d5c-483a-9a36-78b0a3e952d2;Eau minérale naturelle en bouteille verre 75 cl PLANCOET;
453d74bd-dcaa-4a99-acc9-853a5d3ff0ec;FONDS BRUN CLAIR CHEF BOÎTE DE 880 G;"Fécule, sirop de glucose, sel, arômes (avec BLÉ), extrait de levure, maltodextrine, tomate, colorant (caramel ordinaire), oignon, huile de tournesol, extrait de chicorée, jus de cuisson de viande de boeuf 1,3%, ail, extrait de vin blanc, poivre blanc, graines de CÉLERI.
Peut contenir : OEUFS, LAIT, MOUTARDE."
6db330c3-26d0-4a46-93a5-74e704b107ff;CUBES ECORCE DE CITRON CONFIT EN BOÎTE 1 KG APTUNION;
09e45b38-4da1-4eb5-888a-3ebd437a2291;GÉNOISE CACAO PLAQUE 25X35 CM;OEUFS, farine de BLE, sucre, amidon de BLE, stabilisants: sorbitols- glycérol, cacao maigre en poudre (3,5%), émulsifiants: E472b - E477, poudres à lever: E450 - E500, sirop de glucose, LAIT écrémé en poudre, sel, conservateur: E202, épaississant: E410, arôme.
c3b6b4df-e586-4f10-8e58-15fbf0816acb;Gouttes de poivrons jaune en boîte 4/4 SABAROT;mini poivrons jaunes, eau, sucre, sel, affermissant chlorure de calcium : E509, acidifiant : acide citrique, vinaigre, antioxydant : vitamine C E330
bf633f9f-a89a-499b-afb8-1b874a477b08;Champignons entiers 1er choix en boîte 5/1 FRESCO;champignons, eau, sel, acidifiant : acide citrique, antioxygène : acide ascorbique.
7337ab6d-56e0-488f-aaf9-b412dd59bf2f;Purée de banane sucrée en poche 1 kg CAP FRUIT;Banane 89.8%, sucre 10%, antioxydant: acide ascorbique, acidifiant: acide citrique
2a2fda23-1a47-4f35-965b-b82e52be1398;CÔTE D'OR BÂTON NOIR NOISETTES 45G ;Sucre, pâte de cacao, NOISETTES (23%) , beurre de cacao, BEURRE concentré, émulsifiant (lécithine de SOJA), arôme, LAIT écrémé en poudre. Cacao: 46% minimum dans le chocolat noir. PEUT CONTENIR AUTRES FRUITS À COQUE.
a4de2934-a2c7-4719-8f06-81f41d0447ab;BISQUE DE HOMARD EN BOÎTE 3/1 LIEBIG;eau, crustacés 24% (coffres et concentré de homard (équivalent à 12% de homard), têtes et pinces de langoustine, crabe), légumes (concentré de tomates, oignons, carottes, poireaux), vin blanc, amidon modifié, huile de colza, sel, cognac, beurre, protéines de lait et lactose, exhausteur de goût : E621, acidifiant : acide citrique, épices et plantes aromatiques (dont ail), arômes. Peut contenir des traces de poisson.
d44cf4ba-8a2c-400d-8628-90dad672f164;Meringue torsadé 11,5 g PIDY;"sucre, Blanc d'OEUFS, amidon de mais
Peut contenir des traces de FRUITS à COQUES"
d5aeaf70-6b1e-4535-9d4e-dbef142da572;Café moulu Sélection 100% arabica Bio en paquet 1 kg DESTINATION PREMIUM;Café*. *Ingrédient issu de l'agriculture biologique
a96191ad-ff50-4182-b4d1-29f1220d92a1;Café chicoré soluble en sachet 500 g SAGY;"Mélange soluble composé de 60% de pur café soluble et de 40% de pure chicorée soluble
Origines végétales"
97873c91-7739-4a58-a16f-0b680056ee14;Sauce cajun en flacon squeez 950 g GYMA;Huile de colza, eau, vinaigre, sucre, jaune d'OEUF, épices 2,3% (paprika, coriandre, cumin, poivre, piment, curcuma), sel, MOUTARDE (eau, vinaigre, graines de MOUTARDE, sel, acidifiant : E330, sucre, épice, antioxydant : E224, arômes), oignons déshydratés, amidon modifié, ail déshydraté, acidifiant : E270, mélange de plantes aromatiques, épaississants : E415 et E412, extrait d'orge malté (GLUTEN), conservateur : E202.
a2a04cb4-02ba-4f03-8d68-230dbc4253d9;Thé noir pur Ceylan  Ylanté  en boîte de 100 sachets fraicheur SAGY;"100% thé noir
Origine végétale"
a2418174-e16a-41e0-ac14-c87208fb3529;SALICORNE DE CULTURE AU NATUREL EN POT VERRE 160 G GLOBE EXPORT;Salicornes de culture, eau, sel, acide citrique
af1b0798-b112-45f9-ac5e-004f936aac3d;Jus d'orange en bouteille 25 cl PAMPRYL;jus d'orange à base de concentré.
cb0bd6a3-5166-4fcd-980c-308857e4c8a8;Sardine à l'huile de tournesol en boîte 3/1 CAP DINEC;"Sardines (Sardina pilchardus) 70 %, huile de tournesol, sel.
Zone de pêche : Océan Atlantique Centre Est"
9167058f-2e94-4851-899a-d680ef3f59aa;Coca-Cola en canette 33 cl COCA-COLA;"Eau gazéifiée ; sucre ; colorant : caramel (E 150d) ; acidifiant : acide phosphorique ; extraits végétaux ; arôme caféine."
49162bd7-5ebc-4bcd-8567-45e868c57425;Quinoa blanc en sac 2,5 kg SABAROT;100 % Quinoa blanc
eadb972c-6623-472d-a11d-489a7faf6f11;Sauce soja fermentée en bouteille 250 ml JANG SAUCE;"- Soja fermenté naturellement (soja, sel, eau)
- Extrait de Blé
- Extrait de Légumes (Oignon, Radis, Ail, Varech, Cive, Chou, Carotte, Gingembre, Shiitake)
- Extrait de Pollen Fermenté"
97ed1215-55d4-40d4-ad11-898c6f12501e;Huile d'arachide pour friture et assaisonnement en bouteille 1 L SERIGNAN;HUILE D'ARACHIDE RAFFINEE 100%
09cfd7db-4cf9-4885-a2b2-da65a4cfe5c3;BALLOTIN 180G X12 REVILLON;"Chocolat au lait (sucre, beurre de cacao, LAIT entier en poudre, pâte de cacao, lactose (LAIT), lactosérum en poudre (LAIT), émulsifiant : lécithine de SOJA), chocolat noir (pâte de cacao, sucre, beurre concentré (LAIT), beurre de cacao, émulsifiant : lécithine de SOJA), praliné 7% (sucre, AMANDES, NOISETTES), pâte d'amande 5% (sucre, AMANDES, eau, sirop de sucre inverti, sirop de glucose, humectant : sorbitol, conservateur : sorbate de potassium), beurre concentré (LAIT), chocolat noir origine Madagascar 3% (pâte de cacao de Madagascar, sucre, beurre de cacao, émulsifiant : lécithine de SOJA), sucre, pâte de figues 1,5%, sirop de glucose, humectant : sorbitol, sirop de sucre inverti, beurre de cacao, LAIT concentré écrémé sucré, crème stérilisée (LAIT), LAIT entier en poudre, lactosérum en poudre (LAIT), graisses végétales (palme et palmiste), caramel aromatique (sucre, eau), meringues cacaotées 0,4% (sucre, cacao en poudre, blanc d'OEUF amidon de BLE, arôme), huile de tournesol, purée de PISTACHE, cacao maigre en poudre, émulsifiants : monostéarate de glycérol, lécithine de SOJA, fleur de sel de Guérande, sel, arômes naturels, arôme, enzyme : invertase, farine de BLE, malt d'ORGE.
Contient lait, soja, amande, noisette, pistache, blé, orge et oeuf.
Présence possible d'arachide, noix, noix de cajou et noix de pécan."
888ee483-1238-4f92-9993-d5d73e8b6fdd;Velouté de légumes et tomate en briquette 25 cl LA POTAGERE;Eau, légumes 29,4% (carottes 10,3%, pommes de terre 7,6%, oignons 4,4% , céleri rave 3,2%, poireaux, haricots verts, choux- fleurs), purée de tomates reconstituée 28,7%, beurre, amidon modifié de maïs, sel, arôme naturel, sucre, extrait de levure.
5b437c1e-bc3b-4659-83de-fa88402782ec;Jus d'ananas en bouteille verre 25 cl CIDOU;Jus d'ananas à base de concentré, antioxydant : acide ascorbique
fad223d6-a060-4dc6-b4ad-d6d07e5983c5;Jus de pomme-citron pétillants BIO en bouteille 75 cl APIBUL;jus de pommes bio (95,5%), jus de citrons bio (4,5%), gaz carbonique
47d59c87-57b8-488b-87ab-71a4b4203988;Blé précuit bio en sac 5 kg VIVIEN PAILLE;
f430900c-f1ca-4ebc-b91f-ba9e19241f79;Moutarde classic yellow en flacon souple squeez FRENCH'S;vinaigre d'alcool, eau, graine de moutarde (10%), sel, curcuma, paprika, épice, arôme naturel, ail en poudre
95f6ac68-5931-4dec-b295-081e1542e054;Eau minérale naturelle gazeuse en bouteille verre 20 cl PERRIER;
38cf022a-6864-4b5c-92a5-a97bc9d8ef1b;Penne aux 7 œufs en sac 5 kg GRAND MERE;"- Semoule de blé dur de qualité supérieure
- 30% oeufs frais"
f349e71d-fa03-41bc-8fa4-7e1c9c7f6d5b;Sauce soja sucrée en bouteille 975 ml KIKKOMAN;
4b79d049-a58d-42d0-80c1-f47e74d51d86;Crème de champignons en sachet 800 g NEFF MADA;Amidon modifié de pomme de terre - Matières grasses végétales : Huile de tournesol, huile de colza - Sel - Sucre - Sirop de glucose de maïs - Arômes - Oignons - Extrait de levure - Ail - Maltodextrine de blé - Bolet 0,8 % - Protéines de lait - Colorant : E150c - Extrait naturel de vin blanc.
9e568460-224c-4c6d-99ba-542a9bf1f9ed;Barre aux 5 noix BIO 30 g LITTLES MIRACLES;
a01c66a7-ad01-423e-8cbf-cb03c28707a3;Poire Williams demi-fruit au sirop léger en boîte 5/1 ST MAMET;Poires Williams demi-fruits, eau, sirop de glucose-fructose, sucre, acidifiant : acide citrique.
7dd93d83-03f3-48e9-89b8-085f7191574c;Ratatouille BIO en boîte 2/5 CHARLES ET ALICE;"Tomates*
Aubergines*
Courgettes*
Poivrons*
Oignons*
Huile de colza*
Sucre*
Huile d'olive*
Amidon de maïs
Sel
Epices et aromates*
Acide citrique
* Produits issus de l'agriculture biologique"
141769e7-44a2-468e-a65b-bcf4078f0f5b;VINAIGRE BALSAMIQUE DE MODÈNE EPISAVEURS 1L;
a39bddb6-1ee4-4add-9da5-5e7f5cdf94c0;Sardine à la tomate en boîte 3/1 CAP DINEC;"Sardines (Sardina pilchardus) 65 %, eau, concentré de tomate 8,5 %, huile de tournesol, vinaigre d'alcool, sel, épaississant : xanthane, épices.
Zone de pêche : Océan Atlantique Centre Est"
ec396fb5-89fc-489e-9a39-3d72013227d1;TRIO DE CHAMPIGNONS CULTIVÉS FRANCE;
15419203-7c4c-45fc-a67a-33cb20da32dd;Mousse édulcorée café en sachet 240 g NUTRACY;Maltodextrine, graisse végétale hydrogénée, émulsifiants : E471, E472b, protéines de lait, café (1,9%), amidon modifié de pomme de terre, colorant : caramel E150c, stabilisant : E340ii, édulcorant : aspartame, arôme.
eb6b072d-a3ce-4833-b7f8-916b5da5e35f;Olives noires à la grecque en poche 2,5 kg PROVENCE OLIVES;Olive noire à la grecque, huile de colza, sel.
48b74b50-036b-4e44-9aae-b7b52cc188ef;SAUCE DESSERT CHOCOLAT NAPPAGE À FROID NESTLÉ DOCELLO BOUTEILLE DE 1 KG;Sirop de glucose, sirop de sucre inverti, poudre de chocolat 25,7% (sucre, cacao en poudre), eau, huile de noix de coco totalement hydrogénée, sel, conservateur (sorbate de potassium), arôme.
addad407-0677-403f-bdf4-a9d3e79bddce;Nouilles saveur bœuf et sauce soja en pot 61 g SUZI WAN;"1 - SUZI WAN Nouilles en pot aux petits légumes 65 g
nouilles (FARINE DE BLÉ, huile de palme, fécules de pomme de terre, sel, poudre à lever : carbonate de potassium, carbonate de sodium) (84%), arôme naturel, légumes déshydratés (pois, maïs, champignons noirs, poivrons rouge, carottes, oignons en poudre, ail en poudre, épices, ciboulette, sauce SOJA en poudre (graines de SOJA, BLÉ, sel), curry en poudre.
2 - SUZI WAN Nouilles en pot saveur boeuf et sauce soja 61 g
nouilles (FARINE DE BLÉ, huile de palme, fécules de pomme de terre, sel, poudre à lever : carbonate de potassium, carbonate de sodium) (89%), arôme naturel, légumes déshydratés (carottes, poivrons rouge, champignons noirs), poudre d'oignon (grillé), ail, curry en poudre, épices, ciboulette, sauce SOJA en poudre (graines de SOJA, BLÉ, sel).
3 - SUZI WAN Nouilles en pot saveur poulet au curry 62 g
nouilles (FARINE DE BLÉ, huile de palme, fécules de pomme de terre, sel, poudre à lever : carbonate de potassium, carbonate de sodium) (88%), arôme naturel, légumes déshydratés (carottes, poivrons rouge, curry en poudre, poudre d'oignon (grillé), ail grillé* (ail*, huile de tournesol*), extrait de levure, sel, ciboulette, épices, sauce SOJA en poudre (graines de SOJA, BLÉ, sel). *Certifié biologique.
4 - SUZI WAN Nouilles en pot saveur crevette 62 g
nouilles (89%) (farine de BLÉ, huile de palme, fécules de pomme de terre, sel, poudres à lever : carbonate de potassium, carbonate de sodium), arôme naturel, maltodextrine, légumes déshydratés (2.7%) (carotte, champignons noirs, poivron rouge), sauce SOJA en poudre (fèves de SOJA, BLÉ, sel), herbes, sel, épices."
403640be-c795-4227-bc76-1cd75227f3e7;Banzaï noodle saveur bœuf en pot 60 g LUSTUCRU;Noodles 88% (farine de BLE, huile de palme, amidon transformé, sel, poudre à lever : E 500-E 501), sel, amidon, exhausteurs de goût : E 621-E 635, lactose (LAIT), sucre, arôme, extrait de levure, légumes (carottes, CELERI, poireau), épices ( ail, poivre), huile de palme, colorants : E 150c-E 100, persil, sauce soja (jus fermenté de graines de SOJA et grains de BLE, maltodextrine, sel), préparation déshydratée de viande de boeuf 0.1%( viande de boeuf, sel), correcteur d'acidité : E 330.
8b3fe85e-b5e3-4b85-a28d-ecbbfaeaaf72;Velouté de bolets en boîte 940 g KNORR;"farine de BLÉ, amidon modifié de maïs, graisse de palme, sel, maltodextrine, LACTOSÉRUM, LACTOSE, oignon, arômes (dont ORGE, BLÉ), protéines de LAIT, extrait de levure, bolet : 0,6%, amidon de pomme de terre, épice et aromate (ail, curcuma), extrait de champignon : 0,2%, jus d'oignon concentré, huile de tournesol.
Peut contenir: oeuf, céleri, moutarde."
b32a9486-35ac-43a2-8d05-750e89e6d572;Fourrage à la framboise pépin en seau 5 kg MARGUERITE;"Fruits 44%: Framboise (Purée de framboise 34%, Concentré de jus de framboise 1%); Sirop de glucose-fructose; Sucre; Épaississant: Pectines (E 440); Acidifiant: Acide citrique (E 330)."
883f1b8b-bab3-4b2a-93a4-811ff6ceb44a;Tagliatelle BIO en sachet 500 g MARKAL;semoule de blé dur blanche biologique (Triticum durum )
23182e34-1f29-4ee2-bbd6-ce820a4b69bc;Taboulé en coupelle 130 g CHARLES FARAUD;Tomates, eau, BOULGOUR 11,5% (contient du GLUTEN), oignons, huile de colza, concentré de tomate, jus concentré de citron, sel, amidon transformé de maïs, extrait de citron, extrait de menthe, extrait de persil, menthe, persil, poivre.
3f1ea7db-ae05-435f-ba60-e8b4c478e707;Riz long Indica étuvé en sac 10 kg EPISAVEURS;
787eb941-f2d2-4200-82c2-63e6dfae11b4;SURPRISE HIPPO KIDS;
eb5bb1e3-0a86-46cb-9d76-3a965cf20c4b;1883 KIWI 100 CL;SUCRE DE CANNE, EAU, JUS DE KIWI A BASE DE CONCENTRE (10%), ACIDIFIANT : ACIDE CITRIQUE, AROME, COLORANTS : E 102, E 133.
1e4ec9ce-7f6e-457c-b640-58eb32687623;Moutarde en dose 7,5 g HEINZ;Eau, graines de moutarde (29%), vinaigre, sel, acidifant : acide citrique, antioxydant (métabisulfite de sodium)
05d39275-7eac-4bc2-9a3a-f3e05ab7d2b2;Matière grasse goût beurre Rapsodi en bidon 5 L TASTE OF SWEDEN;Huile de colza, émulsifiant : E472c, arôme, colorant : E160a.
bb201173-2549-4165-9202-d1412882a8f6;HARICOTS ROUGES EN POCHE ;Haricots rouges secs trempés, eau, sel, concentré de tomate, arômes
14f524f6-5a50-4514-b9b2-70c54f9dde87;RATATOUILLE 4 4 D'AUCY;Légumes 83% (courgettes, tomates, poivrons rouges et verts, aubergines, oignons), jus de tomates, purée de tomate double concentré, huile d'olive vierge extra (1.4%), sucre, sel, amidon de maïs, oignons grillés en poudre, ail en poudre, herbes aromatiques, jus concentré de citron, acidifiant : acide citrique, poivre, arôme naturel de basilic avec autres arômes naturels.
efba11a2-4154-4785-a209-96771491cbdd;Mayonnaise allégée en distributeur 5,5 kg AMORA;huile de tournesol (40%), eau, vinaigre de vin blanc (dont SULFITES), LACTOSE, jaune d'OEUF de poules élevées en plein air (4,9%), dextrose, moutarde de Dijon (2,5%) (eau, graines de MOUTARDE, vinaigre d'alcool, sel, acidifiant : acide citrique, conservateur : E224 (SULFITES)), amidon modifié de maïs, sel, jus de citron concentré, épaississant (gomme xanthane), acidifiant (acide tartrique), conservateur (acide sorbique), arômes, antioxydant (extrait de romarin), colorants (extrait de paprika et lutéine).
22a1a178-fb01-484f-9a71-510019b80fcd;Lavande bleue en sachet 250 g TERRE EXOTIQUE;Lavande bleue
0922a355-99cd-4812-a176-281a2b32f548;Velouté de légumes verts en briquette 25 cl LA POTAGERE;Eau, légumes 44% dont 17,9% de légumes verts (pommes de terre, céleri-rave, haricots verts 7,2%, oignons réhydratés, brocolis 4%, poireaux 3,1%, épinards 2,7%, carottes, cresson 0,9%), babeurre, amidon modifié de maïs, sel, beurre, cerfeuil, extrait de levure.
d0d8ee07-07ba-4a0b-a13b-c1fc39a2e203;INFUSION ROOIBOS 20 PYRAMIDES EN SACHETS FRAICHEURS;Rooibos
077469a6-a691-4eb6-80ad-75f7f040e8e3;Pêche moitié au sirop léger BIO en boîte 5/1 BIOVIVER;"Moitié de pêche* (variété yellow Clingstone), eau, sucre de canne*, jus de citron*.
*Produits issus de l'agriculture biologique"
b3c92704-1d91-4d73-a66a-167327e355b2;Crème d'amande en sac 10 kg COMPLET;"Sucre, farine d'AMANDES (env. 31,5%), farine de FROMENT, amidon modifié, poudre d'OEUF entier,
poudre de LAIT écrémé, émulsifiants:(E472b, E472a), poudres à lever:(E450, E500, E341), amidon de
FROMENT, arôme, agent de traitement de la farine:(E300).
Fabriqué en France.
Pays d'origine : France ."
02d5ceb9-21c2-4965-8f65-309bca7638b2;Nescoré en stick 3 g NESCORE;Café soluble (48,5%), fibres de chicorée (oligofructose) (27%) et chicorée soluble (24,5%).
144f541d-e1d9-4baa-8d97-edfc013f5a6e;Réduction de volaille en bocal 800 g KNORR PROFESSIONAL;Fond de volaille concentré (32%) (eau, extrait de volaille), amidon de pomme de terre, sel, graisse de poule (6,3%), arômes, sucre, oignon (3,6%), purée de tomates (1,2%), sirop de caramel, extrait de levure, maltodextrine, épaississant (gomme xanthane), acidifiant (acide citrique), thym, antioxydant (extrait de romarin).
e60f4213-6e4b-4499-93a6-8f0d148bda9b;ASPERGE GROSSE 17/24;Asperges, eau, sel, acidifiant : acide citrique E330
1d2f0b20-16b5-4105-b728-d5087a3a45c4;Cœurs de céleri faible en sodium en boîte 5/1 D'AUCY;Coeurs de céleris, eau, acidifiant : acide citrique.
7e2d77e2-99a1-445a-9287-9d3dda28231a;Sauce tartare en flacon squeez 950 g GYMA;Huile de colza, eau, vinaigre, cornichons, sucre, câpres, jaune d'OEUF, amidon modifié, oignon, MOUTARDE de Dijon (eau, graines de MOUTARDE, vinaigre, sel, acidifiant : E330, antioxydant : E224), sel, persil, acidifiant : acide lactique, épaississants : gomme xanthane et gomme de guar, conservateur : sorbate de potassium.
ab158fe0-11ea-447f-9976-a2bb4af524ae;Muscade moulue en sachet 1 kg LA CASE AUX EPICES;Muscade
a7adf767-8ae6-463f-bbb4-783b7133d16d;Sauce demi-glace en boîte 1,05 kg KNORR;farine de BLÉ, amidon modifié de pomme de terre, graisse de palme, maltodextrine, sel, arômes, extrait de levure, oignon*, colorant (caramel E150c), amidon de pomme de terre, purée de tomates*, sucre, épaississant (gomme de guar), fond de boeuf concentré, épices et aromates (poivre, noix de muscade, laurier, thym*, romarin), correcteur d'acidité (acétate de sodium, lactate de calcium), acidifiants (acide citrique, acide lactique). Peut contenir : oeuf, soja, lait, céleri, moutarde. *Ingrédients issus de l'agriculture durable.
252e8f47-ee51-4c76-8c97-26fe00d4a560;Farine de blé tendre PZ1 type 00 en sac 5 kg MOLINO SPADONI;Farine de blé tendre de type « 00 »
84d5c32f-92d0-49c9-9151-d1fd65238a2a;NESTLE MILANO LAIT ÉCRÉMÉ POCHE DE 500G;Lait écrémé.
550758b8-b60c-441d-a5b1-63c21788cd02;BOISSON FERMENTÉE DÉSALCOOLISÉE À BASE DE RAISIN  AVEC ÉDULCORANT;
a5d7bedc-2df0-4a84-a5c9-ec6c8294fa84;BISCUIT SPÉCULOOS EN ÉTUI 6,25 G LOTUS 1PX50 (X8);Farine de blé, sucre, huiles végétales (huile de palme issue de plantations durables et certifiées, huile de colza), sirop de sucre candi, poudre à lever (carbonate acide de sodium), farine de soja, sel, cannelle.
a34c5f15-ed81-48fd-b831-d36395a4c82a;Lasagne gastronorme Grand Chef en colis 3 kg LUSTUCRU;100% semoule de blé dur de qualité supérieure
c902e010-fb5a-4e09-8788-0184c95688fa;Boisson au thé vert en bouteille 350 ml UMAICHA;infusion de thé vert 99,9% (eau, thé vert), Extrait de Grenade
75088d85-f350-4d81-a7f4-954411ba089e;San Pellegrino Aranciata en canette 33 cl SAN PELLEGRINO;
2e8f2aff-58b1-4625-a754-7b4c599cc443;Jus de veau lié hyposodé à froid en poche 1 kg NEFF MADA;Fécule de pomme de terre - Amidon modifié de pomme de terre - Sucre - Arômes - Oignon - Tomate - Sirop de glucose de maïs - Epaisissant : E415 - Extrait de levure - Huile de colza - Colorant : E150c - Viande de veau 0,7 % - Plantes aromatiques - Acidifiant : E330.
082ae95a-e713-4e51-9eb0-092082e964e5;Crème de tartre en boîte 1 kg LOUIS FRANCOIS;
a51c1d3e-5d49-41a3-b83b-4e30773a4507;Radiatori à l'ancienne aux 7 œufs en sac 5 kg GRAND MERE;"- Semoule de blé dur de qualité supérieure
- 30% oeufs frais"
